REF,SECTION NUMBER,NAME,DATE,CHAINAGE,OFFSET/BRG,LEVEL,EASTING,NORTHING,BANK,MANNINGS,GROUND,VEGETATION
WLEVEL,3.01,RIV2.00004,17/10/2022,4.1,184.4,258.55,260446.1,365339.23,WATER,,gravel,
BED,3.01,RIV2.00004,17/10/2022,4.1,-8.17,258.72,260446.81,365348.38,,0.07,soil,Grass
BED,3.01,RIV2.00004,17/10/2022,4.1,-7.64,258.65,260446.77,365347.85,,0.07,soil,Grass
BED,3.01,RIV2.00004,17/10/2022,4.1,-6.86,258.65,260446.71,365347.07,,0.07,soil,Grass
BED,3.01,RIV2.00004,17/10/2022,4.1,-6.08,258.6,260446.65,365346.29,,0.07,soil,Grass
BED,3.01,RIV2.00004,17/10/2022,4.1,-5.25,258.61,260446.58,365345.46,,0.07,soil,Grass
BED,3.01,RIV2.00004,17/10/2022,4.1,-4.47,258.66,260446.52,365344.69,,0.07,soil,Grass
BED,3.01,RIV2.00004,17/10/2022,4.1,-3.67,258.7,260446.46,365343.89,,0.07,soil,Grass
BED,3.01,RIV2.00004,17/10/2022,4.1,-3.02,258.68,260446.41,365343.24,,0.07,soil,Grass
BED,3.01,RIV2.00004,17/10/2022,4.1,-2.4,258.75,260446.36,365342.62,,0.07,soil,Grass
BED,3.01,RIV2.00004,17/10/2022,4.1,-1.62,258.73,260446.3,365341.85,,0.07,soil,Grass
BED,3.01,RIV2.00004,17/10/2022,4.1,-0.84,258.7,260446.24,365341.07,,0.07,soil,Grass
BED,3.01,RIV2.00004,17/10/2022,4.1,0.0,258.73,260446.18,365340.23,LEFT,0.07,soil,Grass
BED,3.01,RIV2.00004,17/10/2022,4.1,0.19,258.72,260446.17,365340.04,,0.07,soil,Grass
BED,3.01,RIV2.00004,17/10/2022,4.1,0.28,258.55,260446.16,365339.95,,,,
BED,3.01,RIV2.00004,17/10/2022,4.1,0.34,258.31,260446.15,365339.89,,0.035,gravel,
BED,3.01,RIV2.00004,17/10/2022,4.1,0.73,258.42,260446.12,365339.5,,0.035,gravel,
BED,3.01,RIV2.00004,17/10/2022,4.1,1.24,258.37,260446.08,365338.99,,0.035,gravel,
BED,3.01,RIV2.00004,17/10/2022,4.1,1.55,258.38,260446.06,365338.68,,0.035,gravel,
BED,3.01,RIV2.00004,17/10/2022,4.1,1.63,258.66,260446.05,365338.6,,0.07,soil,Grass
BED,3.01,RIV2.00004,17/10/2022,4.1,1.73,258.78,260446.05,365338.51,,0.07,soil,Grass
BED,3.01,RIV2.00004,17/10/2022,4.1,2.48,258.99,260445.99,365337.76,RIGHT,0.07,soil,Grass
BED,3.01,RIV2.00004,17/10/2022,4.1,3.42,258.94,260445.92,365336.82,,0.07,soil,Grass
BED,3.01,RIV2.00004,17/10/2022,4.1,4.31,258.95,260445.85,365335.93,,0.07,soil,Grass
BED,3.01,RIV2.00004,17/10/2022,4.1,5.3,258.99,260445.77,365334.95,,0.07,soil,Grass
BED,3.01,RIV2.00004,17/10/2022,4.1,6.13,259.03,260445.71,365334.12,,0.07,soil,Grass
BED,3.01,RIV2.00004,17/10/2022,4.1,7.02,259.11,260445.64,365333.23,,0.07,soil,Grass
BED,3.01,RIV2.00004,17/10/2022,4.1,7.98,259.21,260445.57,365332.27,,0.07,soil,Grass
BED,3.01,RIV2.00004,17/10/2022,4.1,8.68,259.15,260445.51,365331.58,,0.07,soil,Grass
BED,3.01,RIV2.00004,17/10/2022,4.1,9.42,259.16,260445.46,365330.84,,0.07,soil,Grass
BED,3.01,RIV2.00004,17/10/2022,4.1,10.09,259.13,260445.41,365330.17,,0.07,soil,Grass
BED,3.01,RIV2.00004,17/10/2022,4.1,10.74,259.22,260445.36,365329.52,,0.07,soil,Grass
BED,3.01,RIV2.00004,17/10/2022,4.1,11.54,259.38,260445.29,365328.72,,0.07,soil,Grass
BED,3.01,RIV2.00004,17/10/2022,4.1,12.46,259.29,260445.22,365327.81,,0.07,soil,Grass
BED,3.01,RIV2.00004,17/10/2022,4.1,13.44,259.24,260445.15,365326.83,,0.07,soil,Grass
WLEVEL,3.02d,RIV2.00012,17/10/2022,11.7,180.4,259.1,260438.51,365339.21,WATER,,gravel,
BED,3.02d,RIV2.00012,17/10/2022,11.7,0.0,262.4,260438.58,365349.22,LEFT,0.07,soil,Grass
BED,3.02d,RIV2.00012,17/10/2022,11.7,0.82,262.26,260438.57,365348.4,,0.07,soil,Grass
BED,3.02d,RIV2.00012,17/10/2022,11.7,1.62,262.06,260438.57,365347.6,,0.07,soil,Grass
BED,3.02d,RIV2.00012,17/10/2022,11.7,2.43,261.92,260438.56,365346.79,,0.07,soil,Grass
BED,3.02d,RIV2.00012,17/10/2022,11.7,3.23,261.77,260438.56,365345.99,,0.07,soil,Grass
BED,3.02d,RIV2.00012,17/10/2022,11.7,4.2,261.5,260438.55,365345.02,,0.07,soil,Grass
BED,3.02d,RIV2.00012,17/10/2022,11.7,4.92,261.29,260438.55,365344.3,,0.07,soil,Grass
BED,3.02d,RIV2.00012,17/10/2022,11.7,5.71,261.09,260438.54,365343.51,,0.07,soil,Grass
BED,3.02d,RIV2.00012,17/10/2022,11.7,6.47,260.91,260438.53,365342.75,,0.07,soil,Grass
BED,3.02d,RIV2.00012,17/10/2022,11.7,7.09,260.75,260438.53,365342.13,,0.07,soil,Grass
BED,3.02d,RIV2.00012,17/10/2022,11.7,8.06,260.72,260438.52,365341.16,,0.07,soil,Grass
BED,3.02d,RIV2.00012,17/10/2022,11.7,8.64,260.62,260438.52,365340.58,,0.04,masonry,
BED,3.02d,RIV2.00012,17/10/2022,11.7,9.01,260.51,260438.52,365340.21,,0.04,masonry,
BED,3.02d,RIV2.00012,17/10/2022,11.7,9.36,259.75,260438.51,365339.86,,0.04,masonry,
BED,3.02d,RIV2.00012,17/10/2022,11.7,9.42,259.1,260438.51,365339.8,,0.035,gravel,
BED,3.02d,RIV2.00012,17/10/2022,11.7,9.49,259.04,260438.51,365339.73,,0.035,gravel,
BED,3.02d,RIV2.00012,17/10/2022,11.7,9.66,259.04,260438.51,365339.56,,0.035,gravel,
BED,3.02d,RIV2.00012,17/10/2022,11.7,9.95,259.04,260438.51,365339.27,,0.035,gravel,
BED,3.02d,RIV2.00012,17/10/2022,11.7,10.14,259.0,260438.51,365339.08,,0.035,gravel,
BED,3.02d,RIV2.00012,17/10/2022,11.7,10.3,258.99,260438.51,365338.92,,0.035,gravel,
BED,3.02d,RIV2.00012,17/10/2022,11.7,10.47,258.99,260438.51,365338.75,,0.07,soil,Grass
BED,3.02d,RIV2.00012,17/10/2022,11.7,10.76,259.34,260438.5,365338.46,,0.07,soil,Grass
BED,3.02d,RIV2.00012,17/10/2022,11.7,11.07,259.69,260438.5,365338.15,,0.07,soil,Grass
