REF,SECTION NUMBER,NAME,DATE,CHAINAGE,OFFSET/BRG,LEVEL,EASTING,NORTHING,BANK,MANNINGS,GROUND,VEGETATION
WLEVEL,6.01,TRI4.00005,31/10/2022,4.8,174.8,275.1,260126.55,365850.29,WATER,,gravel,
BED,6.01,TRI4.00005,31/10/2022,4.8,-2.75,275.42,260125.97,365856.7,,0.07,soil,Grass
BED,6.01,TRI4.00005,31/10/2022,4.8,-1.85,275.4,260126.05,365855.8,,0.07,soil,Grass
BED,6.01,TRI4.00005,31/10/2022,4.8,-0.93,275.42,260126.14,365854.89,,0.07,soil,Grass
BED,6.01,TRI4.00005,31/10/2022,4.8,0.0,275.44,260126.22,365853.96,LEFT,0.07,soil,Grass
BED,6.01,TRI4.00005,31/10/2022,4.8,0.87,275.41,260126.3,365853.09,,0.07,soil,Grass
BED,6.01,TRI4.00005,31/10/2022,4.8,1.59,275.42,260126.36,365852.38,,0.07,soil,Grass
BED,6.01,TRI4.00005,31/10/2022,4.8,2.19,275.43,260126.42,365851.78,,0.07,soil,Grass
BED,6.01,TRI4.00005,31/10/2022,4.8,2.39,275.4,260126.44,365851.58,,0.07,soil,Grass
BED,6.01,TRI4.00005,31/10/2022,4.8,2.66,275.38,260126.46,365851.31,,0.07,soil,Grass
BED,6.01,TRI4.00005,31/10/2022,4.8,3.01,275.4,260126.49,365850.96,,0.07,soil,Grass
BED,6.01,TRI4.00005,31/10/2022,4.8,3.16,275.14,260126.51,365850.81,,0.07,soil,Grass
BED,6.01,TRI4.00005,31/10/2022,4.8,3.23,274.94,260126.51,365850.74,,0.035,gravel,
BED,6.01,TRI4.00005,31/10/2022,4.8,3.52,274.97,260126.54,365850.45,,0.035,gravel,
BED,6.01,TRI4.00005,31/10/2022,4.8,3.88,275.04,260126.57,365850.1,,0.035,gravel,
BED,6.01,TRI4.00005,31/10/2022,4.8,4.13,275.03,260126.59,365849.85,,0.035,gravel,
BED,6.01,TRI4.00005,31/10/2022,4.8,4.25,275.1,260126.6,365849.73,,,,
BED,6.01,TRI4.00005,31/10/2022,4.8,4.27,275.2,260126.61,365849.71,,0.07,soil,Grass
